Assunto	Pergunta	Resposta Padrão
eSocial	Quais os erros mais comuns retornados pelo evento S-2220?	"Erro 1: Campo de preenchimento obrigatório: Categoria
Solução: Informar a matrícula no funcionário e realizar novamente o envio.

Erro 17: A estrutura do arquivo XML está em desconformidade com o esquema XSD.The element 'eSocial' in namespace 'http://www.esocial.gov.br/schema/evt/evtExpRisco/v_S_01_00_00' has incomplete content. List of possible elements expected: 'Signature' in namespace 'http://www.w3.org/2000/09/xmldsig#'.
Solução: Configuração do certificado na empresa e/ou definir responsável pelo envio.

Erro 106: Foi localizado no sistema um evento em duplicidade com o evento a ser enviado, como mesmo tipo de inscrição, número de inscrição, CPF do trabalhador, matrícula e data de início da condição.
Ação sugerida: Evento já foi enviado ao portal do eSocial com sucesso, portanto não há necessidade de nenhuma ação.

Erro 130: É necessário existir informação cadastrada do empregador para o período.
Ação sugerida: verificar data de início da obrigatoriedade da empresa ao eSocial. Em casos de filiais, verificar se a matriz enviou o evento ""S-1000 - Empresa"" para o eSocial.

Erro 174: A data de ocorrência do evento ""5/11/2021"" deve ser igual ou posterior ao início da obrigatoriedade do evento ""10/01/2022"" para o empregador ao eSocial. Para confirmar a data de obrigatoriedade do empregador, verifique o cronograma disponível no site https://portal.esocial.gov.br/.
Ação Sugerida: Verificar se este evento não é referente a ASO feito antes da obrigatoriedade.

Erro 180: O Vínculo Trabalhista não foi localizado.
Geralmente ocorre devido a:
- Número da matricula incorreto;
- Numero do CPF incorreto;
- A contabilidade ainda não enviou o evento de admissão pro eSocial;
- A contabilidade enviou o evento de demissão desse funcionário; 
- Se for S-2240, verificar se a data de entrada no cargo esta exatamente igual a admissão que a contabilidade enviou.
Ação Sugerida: Utilize o evento de admissão para cadastramento do vínculo trabalhista.                                                                                                                                                                                                                             
- CNPJ relacionado no BR NET diferente do cadastrado no evento S-2220.
Erro 301: Código do erro: 301.3. Hash: NÚMERO HASH. Identificador: NÚMERO IDENTIFICADOR. A solicitação não pode ser atendida devido a uma falha não identificada que pode ou não ser temporária. Favor tentar novamente mais tarde. Caso o erro permaneça por um período superior a seis horas, acesse o Portal do eSocial através do endereço https://www.gov.br/esocial/pt-br/canais_atendimento. Na opção CONTATO, na seção EMPRESAS, selecione PRODUÇÃO EMPRESAS. Preencha o formulário sobre erro 301 informando o código HASH do retorno e o identificador do evento para rastreamento.
Ação Sugerida: Aguardar e tentar mais tarde. A alta demanda de envio das informações ao eSocial pode sobrecarregar e causar esse erro.

Erro 303: Não foi localizado o contrato de trabalho do trabalhador CPF: NÚMERO, Matrícula: NÚMERO e Categoria: Desconhecida.
Ação Sugerida: Utilize o evento S-2300 - Trabalhador Sem Vínculo de Emprego/Estatutário – Início, para cadastramento do contrato de trabalho conforme tabela 1 (Categorias de Trabalhadores).

Erro 304: Não existe um Contrato de Trabalho para o CPF: NÚMERO e Matrícula: NÚMERO ou esse encontra-se encerrado na data do evento.
Ação sugerida: Corrigir número de matrícula.

Erro 407: A regra de precedência na transmissão de eventos não foi seguida. Eventos desse tipo não devem ser enviados para processamento em paralelo. Ver seção 5.6.1 do Manual de Orientação do Desenvolvedor.
Solução: O erro é devido ao grande fluxo de informações e processamentos no servidor do eSocial, ou o envio perdeu a conexão com o mesmo neste momento. Reenviar o evento.

Erro: 409: Não foi possível estabelecer conexão com o Sistema de Procuração Eletrônica RFB.
Ação sugerida: A falha pode ser temporária, tente novamente mais tarde.

Erro 411: Assinante inválido. Assinante não possui perfil de procuração eletrônica para enviar este tipo de evento ou assinante não consta como representante legal da empresa. Ausência de procuração eletrônica para transmissão dos eventos. 
Ação sugerida: Solicitar procuração eletrônica para o cliente.

Erro 632: Já existe no evento um grupo com mesma chave de identificação. Erro decorrente de informação duplicada no XML. Ocorre quando há mais de um exame com o mesmo código.

Erro 1327: O tipo do exame médico ocupacional não pode ser [0] - Exame médico admissional.
Ação Sugerida: Se informado [0] - Exame Médico admissional, não poderá existir outro evento S-2220 para o mesmo contrato com a data de emissão do ASO anterior. ""
Motivo: Já consta no eSocial este mesmo evento (ASO) com data superior ao evento transmitido."
eSocial	Quais os erros mais comuns retornados pelo evento S-2240?	"Erro 1:Campo de preenchimento obrigatório: Categoria
Solução: Informar a matrícula no funcionário e realizar novamente o envio.

Erro 17: A estrutura do arquivo XML está em desconformidade com o esquema XSD.The element 'eSocial' in namespace 'http://www.esocial.gov.br/schema/evt/evtExpRisco/v_S_01_00_00' has incomplete content. List of possible elements expected: 'Signature' in namespace 'http://www.w3.org/2000/09/xmldsig#'.
Solução: Configuração do certificado na empresa e/ou definir responsável pelo envio.

Erro 106: Foi localizado no sistema um evento em duplicidade com o evento a ser enviado, mesmo Tipo de Inscrição. Número de Inscrição, CPF do Trabalhador, Matrícula, Data de Início da Condição.
Ação sugerida: Evento já foi enviado ao portal do eSocial com sucesso, não há necessidade de nenhuma ação.

Erro 130: É necessário existir informação cadastrada do empregador para o período.
Ação sugerida: verificar data de início da obrigatoriedade da empresa ao eSocial. Em casos de filiais, verificar se a matriz enviou o evento ""S-1000 - Empresa"" para o eSocial.

Erro 174: A data de ocorrência do evento '03/05/2021' deve ser igual ou posterior ao início da obrigatoriedade deste evento '10/01/2022' para o empregador ao eSocial. Para confirmar a data de obrigatoriedade do empregador, verifique o cronograma disponível no site https://portal.esocial.gov.br/.
Ação Sugerida: Verificar se este evento não é referente à dados antes da obrigatoriedade.

Erro 180: O Vínculo Trabalhista não foi localizado.
Geralmente ocorre devido a:
- Número da Matricula Incorreto;
- Numero do CPF incorreto;
- A contabilidade não enviou o evento de admissão ainda pro eSocial;
- A contabilidade enviou o evento de demissão desse funcionário; 
- Se for, S-2240 verificar se a data de entrada no cargo esta exatamente igual a admissão que a contabilidade enviou
Ação Sugerida: Utilize o evento de admissão para cadastramento do vínculo trabalhista.

Erro 272: A inscrição informada não deve ser o CPF do empregador, caso de empregador doméstico, e ser um estabelecimento do empregador devidamente cadastrado no sistema no período.
Solução: Para que um empregador do tipo CPF consiga enviar o 2240 de forma correta, ele precisa:
-Estar com seu CPF cadastrado no eSocial pelo envento s1000
-Possuir pelo menos um estabelecimento (ambiente) do tipo CAEPF/CNO ou CNPJ cadastrado no eSocial pelo evento s1005

Erro 301: Código do erro: 301.3. Hash: NÚMERO HASH. Identificador: NÚMERO IDENTIFICADOR. A solicitação não pode ser atendida devido a uma falha não identificada que pode ou não ser temporária. Favor tentar novamente mais tarde. Caso o erro permaneça por um período superior a 6 (seis) horas, favor acessar o Portal do eSocial através do endereço https://www.gov.br/esocial/pt-br/canais_atendimento. Na opção CONTATO, na seção EMPRESAS, selecione PRODUÇÃO EMPRESAS. Preencha o formulário sobre erro 301 informando o código HASH do retorno e o identificador do evento para rastreamento.
Ação Sugerida: Aguardar e tentar mais tarde. A alta demanda de envio das informações ao eSocial pode sobrecarregar e causar este erro.

Erro 303: Não foi localizado o contrato de trabalho do trabalhador CPF: NÚMERO, Matrícula: NÚMERO e Categoria: Desconhecida.
Ação Sugerida: Utilize o evento S-2300 - Trabalhador Sem Vínculo de Emprego/Estatutário – Início, para cadastramento do contrato de trabalho conforme tabela 1 (Categorias de Trabalhadores).

Erro 304: Não existe um Contrato de Trabalho para o CPF: NÚMERO e Matrícula: NÚMERO ou este encontra-se encerrado na data do evento.
Corrigir número de matrícula.

Erro 407: A regra de precedência na transmissão de eventos não foi seguida. Eventos desse tipo não devem ser enviados para processamento em paralelo. Ver seção 5.6.1 do Manual de Orientação do Desenvolvedor.
Solução: O erro é devido ao grande fluxo de informações e processamentos no servidor do eSocial, ou o envio perdeu a conexão com o mesmo neste momento. Reenviar o evento.

Erro: 409: Não foi possível estabelecer conexão com o Sistema de Procuração Eletrônica RFB.
Ação sugerida: A falha pode ser temporária, tente novamente mais tarde.

Erro 411: Assinante inválido. Assinante não possui perfil de procuração eletrônica para enviar este tipo de evento ou assinante não consta como representante legal da empresa.
Ausência de procuração eletrônica para transmissão dos eventos. Solicitar procuração eletrônica para o cliente.

Erro 632: Já existe no evento um grupo com mesma chave de identificação.
Erro decorrente de informação duplicada no XML. Pode ser código de risco duplicado, descrição de EPI duplicada, descrição de EPC duplicada, etc.

Erro 667: A data não pode ser superior a 30(Trinta) dias a partir da data atual.
Ação Sugerida: Editar o CARGO em questão e verificar DATA DE INÍCIO DA VALIDADE DOS DADOS PARA O ESOCIAL.

Erro 1557: Não foi localizado o contrato de trabalho do trabalhador CPF: NÚMERO, Matrícula: NÚMERO"
eSocial	Procuração eletronica inválida. O que fazer ?	Contactar o cliente e informar sobre a invalidez, uma vez que a procuração eletrônica é uma condicionante para o formato de transmissão/mensageria.
eSocial	Os eventos enviados após a data corte de cada mes estarão sujeitos a multa?	Sim. Melhor cenário é realizar o envio até o dia 15 do mês subsequente.
eSocial	O cliente pode exportar as informações do s-2240 com os dados do LTCAT (BR MED) e PGR (CLIENTE)?	Sim. O cliente pode exportar as informações do LTCAT elaborado pela BR MED para o evento S-2240. Para que isso ocorra, o time de Sucesso ou Onboarding deve enviar o LTCAT para que o cliente atualize o PGR, e, somente depois da conclusão da atualização do PGR, devemos cadastrar o LTCAT no BR NET. Esse LTCAT deve ser considerado para elaboração da V7 pela equipe de Segurança do Trabalho e realizada a importação dos dados pela equipe de On-Going. Atualmente não aceitamos atender clientes para elaboração somente de LTCAT. 
eSocial	"Descrever os principais motivos de recusa de forma comentada, conforme solicitado em 09/03/2023 no treinamento eSocial 2240 Transmissão

"	"""Matricula & CPF: O eSocial trabalha fazendo a busca das duas informações no evento S-2200. Caso o declarante informe dados diferentes no evento S-2240, será motivo de recusa.;

Agente Nocivo: Qualquer dado diferente de ausencia de risco (09.01.001) deverá ser acompanhado de EPC ou EPI.Caso o declarante não informe as medidas de controle, será motivo de recusa;

Descrição de Atividade: O eSocial permite apenas 999 caracteres para descrição de atividade do trabalhador, considerando, também, os espaços. Caso possua mais dados que o permitido, será motivo de recusa;

Data de Admissão: Visto que os eventos de admissão são predecessores aos eventos de Saúde e Segurança do Trabalho, se o trabalhador ainda não foi admitido, o eSocial não encontrará parâmetros para envio do evento S-2240. Na BR NET, por padrão consta a data de liberação do ASO, e o cliente deverá atualizar o campo ""início da condição"" com a data de admissão do trabalhador. 

"
eSocial	Quando o cliente sinalizar algum erro no envio de mensageria de responsabilidade da BR MED,  qual processo devemos seguir? 	Entender melhor a demanda ou erro, verificar se na FAQ consta alguma pergunta que possa ajudar, pedir para que o cliente formalize por email e verificar com a equipe do eSocial para devolutiva ao cliente.
eSocial	O que é eSocial para SST?	É um projeto do Governo para as empresas unificarem o envio e armazenamento das informações de seus colaboradores, visando atender às obrigações trabalhistas, previdenciárias e tributárias. Vale ressaltar que em torno de 20% dessas informações são referentes à Saúde e Segurança do Trabalho (SST) e respectivos eventos (S-2220, S-2240 e S-2210).
eSocial	Devo informar os riscos ergonômicos, acidentes e mecânicos para o eSocial?	Não. Apenas os riscos físicos, químicos e biológicos serão tratados no eSocial.
eSocial	Devo enviar o PGR ao eSocial?	O PGR não deve ser enviado ao eSocial. O eSocial não aceita documentos e laudos, apenas os eventos. Por isso, enviamos um XML contendo as informações referente aos GHEs, Agentes Nocivos e CA dos EPIs através do evento S-2240.
eSocial	Quando não houver riscos no PGR, o evento S-2240 deve ser enviado?	Mesmo com ausência de riscos no PGR, o evento S-2240 deve ser informado para todos os funcionários com o código "09.01.001. Ausência de agente nocivo ou de atividades previstas no Anexo IV do Decreto 3.048/1999"
eSocial	Quais informação devem ser enviadas no evento S-2220?	No evento S-2220 deve ser enviado: CPF, número de matrícula, códigos e data dos exames, tipo e data do ASO, nome e CRM do médico emitente.
eSocial	O que é o arquivo XML?	O XML é um arquivo de texto formatado nos padrões do eSocial contendo as informações solicitadas no manual e layout da versão S-1.0.
eSocial	Devo enviar o ASO ao eSocial?	O eSocial não aceita anexos, portanto o ASO não é enviado ao eSocial. O que é enviado por meio do evento S-2220 é um arquivo XML contendo as informações contidas no ASO.  
eSocial	O que são os eventos predecessores?	São os eventos necessários e que antecedem ao envio do S-2220 ou S-2240, como: S-2190 (pré admissional); S-2200 (admissão) e S-2300 (estagiários, estatutários, RPA, entre outros, sem vínculo CLT).
eSocial	O que são as NRs?	No Brasil, as Normas Regulamentadoras, também conhecidas como NRs, são citadas no Capítulo V, Título II, da Consolidação das Leis do Trabalho e regulamentam e fornecem orientações sobre procedimentos obrigatórios relacionados à segurança e saúde do trabalhador. Elas estipulam quais são os requisitos mínimos para a garantia da saúde e da segurança no ambiente de trabalho. Como passam por inspeção periódica do Ministério do Trabalho e Emprego, são obrigatórias para as empresas brasileiras. Atualmente existem 38 normas.
eSocial	Quem libera a procuração eletrônica?	"A empresa cliente da BR MED, através do site do e-CAC.CRIAR.
"
eSocial	"É necessário autenticar no cartório a procuração digital?
"	"A procuração eletrônica/digital não precisa ser autenticada em cartório. Ela é autenticada automaticamente pelo site do e-CAC ao realizar o procedimento.
"
eSocial	É necessário o certificado digital próprio para vincular no Sistema do eSocial?	Sim, certificado digital no formato A1. Após esta etapa, a BR MED entra no circuito iniciando a prestação do serviço de transmissão, uma vez que a respectiva proposta comercial foi assinada para começo do termo aditivo.
eSocial	Qual a diferença de Agente de Risco para Agente Nocivo?	Consideram-se agentes de risco os agentes físicos, químicos, biológicos, fatores ergonômicos e acidente existentes nos ambientes de trabalho que, em função de sua natureza e tempo de exposição, são capazes de causar danos à saúde do trabalhador. Já os agentes nocivos são aqueles que geram condições especiais de trabalho que, além de prejudicar a saúde ou condição física dos trabalhadores, podem ensejar aposentadoria especial.
eSocial	Qual a diferença entre o número do protocolo e número de recibo?	O número de protocolo é a numeração disponibilizada pelo eSocial para os arquivos que estão em processamento, ou seja, ainda não foram analisados pelo governo. Após essa análise, a numeração passa a ser o número de protocolo.
eSocial	O que é EPI e EPC?	De acordo com o subitem 6.3.1 da NR-6, considera-se Equipamento de Proteção Inidivudal (EPI) o dispositivo ou produto de uso individual utilizado pelo trabalhador, concebido e fabricado para oferecer proteção contra os riscos ocupacionais existentes no ambiente de trabalho. Já o Equipamento de Proteção Coletiva (EPC) é todo dispositivo ou produto que projeta o coletivo, ou seja, cercas, placas de sinalização e fitas zebradas. 
eSocial	O que é Matriz de EPI?	A matriz é um documento que registra as entradas e saídas dos EPIs, seguindo a necessidade de sua compra e substituição dos equipamentos. É por meio dela que temos controle de qual EPI cada trabalhador deve usar.
eSocial	O que é GHE ou GSE?	O Grupo Homogêneo de Exposição (GHE) é o agrupamento dos trabalhadores em uma empresa que têm perfis de exposição de riscos similares. Já o Grupo Similar de Exposição (GSE) corresponde a um grupo de trabalhadores sujeito a condições em que ocorram idênticas probabilidades de exposição a um determinado agente de risco
eSocial	O que é CA?	O Certificado de Aprovação (CA) é um documento emitido pelo Ministério do Trabalho e Previdência, estabelecendo o prazo de validade para comercializar um determinado Equipamento de Proteção Individual (EPI).
PGR	O que é PGR?	O Programa de Gerenciamento de Riscos (PGR) é um documento que substituiu o PPRA e que visa gerenciar os riscos ocupacionais (físicos, químicos, biológicos, ergonômicos e de acidentes) presentes no ambiente de trabalho. Ele é obrigatório para todas as empresas com funcionários CLT, com exceção do MEI.
PPRA	O que é PPRA?	O PPRA é o Programa de Prevenção de Riscos Ambientais, conforme preconiza a NR-9. Vale ressaltar que, a partir de 03/01/2023, esse programa foi substituído pelo Programa de Gerenciamento de Riscos (PGR), de acordo com a NR-1.
Exame Toxicologico	Quais os tipos de exame toxicólogico a BR MED faz e qual a finalidade cada um deles?	"A BRMED realiza dois tipos de exames toxicológicos: O toxicológico capilar e o urinário.
O Toxicológico capilar é realizado através de amostras de pelos ou cabelo, capaz de identificar o uso de substâncias lícitas e ilícitas em um tempo mais longo que os demais testes. Por isso, é considerado um método eficaz e assertivo, podendo detectar o uso de drogas no período de 90 a 180 dias.
O Toxicológico urinário é capaz de detectar a presença das substâncias em um período de até 7 dias. Esse é o tempo das substâncias serem diluídas pelo fígado até chegarem à urina. O teste é indicado para pacientes que precisam de uma detecção que não seja tão larga, uma vez que só é possível detectar o uso de substância nos 7 dias que antecederam a coleta. "
Expedição	O que devo fazer com o encaminhamento anexado no prontuário do colaborador?           	"Encaminhamento anexado ao prontuário do colaborador com o ASO - significa que foi detectada alguma alteração que possa vir a comprometer a saúde do colaborador. A empresa deve entregar o encaminhamento ao mesmo e orientar esse colaborador a procurar atendimento com o especialista para que possa iniciar seu tratamento. A alteração é apenas para controle, portanto não é considerada impeditiva para que o mesmo realize suas atividades laborais.
Encaminhamento anexado sem o ASO - indica que, devido a alteração identificada, foi necessário reter o ASO do colaborador e encaminhá-lo à coordenação médica do PCMSO para que seja avaliada as condições clínicas do colaborador e para que essa coordenação dê as orientações necessárias em relação à forma que o Atestado de Saúde Ocupacional será liberado (se o colaborador será liberado às atividades laborais e procurará um especialista para controle ou se deverá apresentar um laudo do especialista para verificarmos se está ou não em condições de exercer sua função). Nos casos mais graves, o médico pode considerar o candidato inapto para exercer a função.

Esse processo é válido para clínica própria ou rede credenciada.
"
Expedição	Quando o ASO do colaborador será liberado em rede credenciada?	"O BR NET fornece a previsão da data da liberação em dois momentos. 
1 - No momento da solicitação do agendamento. Abaixo da grade de exames, exibimos a previsão de liberação. 
2 - Na timeline do colaborador exibimos a previsão de liberação. Essas prévias de liberação podem sofrer variações nas seguintes situações: 
2.1- Cada clínica possui um prazo e o mesmo é calculado de acordo com sua grade de exames. 
2.2- Caso o colaborador apresente alguma alteração em seus exames, o mesmo será encaminhado à área médica e precisaremos aguardar a conduta do médico coordenador para prosseguir com a liberação do ASO. O prazo para liberação do ASO nos casos de alteração é, em média, de 2 dias úteis, salvo em alguns casos com particularidades específicas. 
2.3- Caso o colaborador deixe de realizar algum exame e precise retornar à clínica, o prazo é recalculado de acordo com o exame que foi feito posterior a seu agendamento. "
Expedição	Qual o prazo para liberação dos ASOs retidos após conduta médico do cliente?	O prazo para liberação dos ASOs após o retorno da coordenação médica é de, em média, 2 dias úteis. Salvo em alguns casos com particularidade específica.
Expedição	Por que o exame de Coprocultura e Cultura Ungueal demoram para sair o resultado?	Todo exame de cultura precisa ter um tempo de proliferação dos microorganismos, e essa etapa impacta no SLA de liberação do respectivo exame. No caso da Coprocultura, são 4 dias úteis; para Cultura Ungueal, 30 dias úteis.
Faturamento	Por que o valor do boleto está diferente do valor da NF?	Alguns tipos de serviços estão sujeitos a retenção de impostos. São eles: PIS, Cofins, Contribuição Social, Imposto de Renda ou ISS. A retenção de impostos na nota fiscal corresponde aos tributos pagos na venda de algum serviço ofertado pela empresa. E, dessa forma, o valor dos tributos será descontado diretamente na nota fiscal. Portanto, se o seu boleto está com o valor diferente da nota, é porque houve a retenção dos impostos, e para verificação basta consultar a nota fiscal. Para mais informações sobre alíquotas, emissões e recolhimentos de DARFs, pedimos que consulte diretamente a sua contabilidade.
Faturamento	Por que estou recebendo cobrança se solicitei o distrato?	Conforme cláusula contratual, os distratos precisam ser solicitados com 30 dias de antecedência. Diante disso, os serviços ficam ativos por 30 dias após o pedido. Após esse período, os serviços não serão mais prestados, porém, se por algum motivo do nosso cliente ocorrer a necessidade, será cobrado normalmente.
Faturamento	Por que meus ativos estão diferentes do real quantitativo da minha empresa?	Caso o seu modelo de contrato contemple o serviço de saúde e gestão, você receberá a cobrança de acordo com o número de ativos cadastrados no BR NET. Lembrando que é responsabilidade do contratante (cliente BR MED) a atualização dos colaboradores ativos no BR NET. Pedimos que nossos clientes mantenham esses dados sempre atualizados.
Faturamento	O que se refere a cobrança de Alteração do PCMSo/PGR?	Foram realizadas atualizações no documento, com isso gera uma cobrança de 25%.
Faturamento	Minha fatura vai chegar até que dia?  	Algumas faturas podem estar pendentes de envio por causa de alguma inconsistência na informação. E isso pode gerar algum atraso. Provavelmente nosso setor de faturamento já entrou em contato para sanar a inconsistência. Caso não tenha identificado nossa tentativa de contato, pedimos que envie um email para financeiro@grupobrmed.com.br. Responderemos em até 48 horas.
Faturamento	Estamos sendo cobrados por documentos que não recebemos até o momento	O cliente deve entrar em contato com o Gestor do contrato (ponto focal do time de Sucesso) para melhor entender o caso.
Faturamento	Poderia informar qual foi nosso índice de reajuste?	O índice de reajuste é informado no contrato assinado entre todas as partes. Por padrão, o reajuste é realizado anualmente no aniversário de contrato e enviamos o comunicado para o email cadastrado. Caso ocorra alguma necessidade de reajuste devido a algum reequilíbrio econômico por causa da complexidade do serviço prestado, o contratante será informado.
Gestão de CIPA	O que é CIPAA? E CIPATR?	A Comissão interna de Prevenção de Acidentes e Assédio (CIPAA), que está presente na NR-5, é um grupo formado por empregados e empregadores de uma mesma empresa que são escolhidos por meio de eleições. O objetivo dessa equipe é mapear e prevenir acidentes de trabalho e promover a saúde do funcionário. A CIPATR é semelhante, porém é referente ao segmento rural.
Gestão de CIPA	Como é feita a organização da CIPAA?	"A comissão é composta por colaboradores da empresa, organizada pela composição de representantes do empregador (indicados) e dos empregados (que são escolhidos através de eleições), de acordo com dimensionamento previsto no Quadro I da NR-5. 

Seguindo o item 5.4 desta norma

""5.4 Constituição e estruturação

5.4.1 A CIPA será constituída por estabelecimento e composta de representantes da organização e dos empregados, de acordo com o dimensionamento previsto no Quadro I desta NR, ressalvadas
as disposições para setores econômicos específicos."""
Gestão de CIPA	Quando um membro da CIPAA pode ser desligado da empresa?	Todo Cipeiro tem direito a estabilidade no emprego de até 2 anos, desde o registro da sua candidatura até 1 ano após o fim do seu mandato, de acordo com a NR-5, Art. 165 da CLT. Com isso, após o término da estabilidade, o colaborador pode ser dispensado de suas atividades sem justa causa. De acordo com a 5.6.6, o membro titular perderá o mandato e será substituído por suplente quando faltar a mais de quatro reuniões ordinárias sem justificativa.
Gestão de CIPA	Quantas reeleições o colaborador que é membro eleito da CIPAA pode ter?	O mandato dos membros eleitpos da CIPAA, terá duração de 1 ano permitindo somente uma reeleição, porém o mesmo poderá permanecer como cipeiro se for indicado pelo empregador.
Gestão de CIPA	Quais são os riscos em caso de desligamento do cipeiro antes dos 2 anos de estabilidade?	Conforme o Art. 165 da CLT e a NR-5, não poderá realizar dispensa sem justa causa do cipeiro com estabilidade, porém, seguindo o parágrafo único do Art. 165 da CLT, a empresa que optar mesmo assim por essa dispensa, terá que comprovar na justiça o motivo do desligamento sob a pena de reintegrar o cipeiro.
LTCAT	As informações do LTCAT, quando elaborado pela BR MED, estão subindo no sistema BR NET com  avaliação ambiental? 	"Dependendo resultado das avaliações, os fluxos acorrem da seguinte forma:
Se o resultado da avaliação ambiental estiver abaixo do Limite de Tolerância, não há necessidade de subir as informações para o BR NET. 
Se o resultado da avaliação ambiental estiver acima do Limite de Tolerância, os resultados serão importados no sistema."
LTCAT	O que é LTCAT?	O LTCAT é laudo técnico das condições ambientais do trabalho. É um documento que descreve, de forma detalhada, todas as condições de trabalho. Ele precisa ser elaborado para atestar as condições de trabalho na qual o colaborador foi submetido. 
LTI	Para que serve o LTI?	O LTI é o laudo técnico de insalubridade. Tem finalidade de identificar e caracterizar a insalubridade presente no ambiente ocupacional. Além de regulamentar as operações da empresa de acordo com a legislação, ele também explicita se existe a necessidade do pagamento do adicional de insalubridade para os funcionários.
LTI	Em qual Norma se enquadra o LTI?	Se enquadra na NR-15 - Atividades Insalubres.
LTP	O que é LTP? 	O Laudo Técnico de Periculosidade (LTP) é um laudo obrigatório elaborado com o objetivo de documentar as condições ambientais de trabalho, identificando as atividades ou operações perigosas previstas pela NR-16, Lei 7369/85 e Decreto 93412/86.
LTP	Em qual norma regulamentadora se enquadra o LTP?	Na NR-16 - Atividades Periculosas.
LTP	Qual artigo da CLT cita os riscos sobre atividades e operações perigosas?	O artigo nº 193 da CLT - Consolidação das leis trabalhistas.
Malote físico	Em quanto tempo recebo um malote físico de ASO feito em credenciada?	O tempo de recebimento do malote físico varia de acordo com a localidade da credenciada. Em média, o recebimento em nossa sede administrativa é até a segunda semana do mês subsequente aos atendimentos. Com a chegada da via física, temos um prazo de 7 dias úteis para realizamos a conferência do prontuário e enviarmos a aprovação para a clínica emitir a documentação para pagamento. Caso tenha alguma divergência, como algum exame físico não enviado ou documentação física não assinada, informamos a clínica e aguardamos o envio. Quando não encontramos intercorrência, encaminhamos os prontuários para a equipe responsável pelos malotes. Dentro da nossa área de credenciados, o malote é protocolado e enviado via correios ou motoboy para a empresa. É necessário o retorno deste protocolo assinado pelo cliente via e-mail ou pelo motoboy. Após recebermos o protocolo assinado, digitalizamos essa via e disponibilizamos no Único-doc.
Mapa de Risco	Quais os benefícios do Mapa de Riscos para a empresa?	"Prevenção de riscos existentes nos locais de trabalho onde os trabalhadores poderão estar expostos;
Redução de gastos com acidentes e doenças, medicação, indenização, substituição de trabalhadores e danos patrimoniais;
Otimização da gestão de saúde e segurança no trabalho com aumento da segurança interna e externa; 
Melhoria do clima organizacional, aumentando a produtividade, competitividade e lucratividade."
Mapa de Risco	Quem elabora o Mapa de Riscos?	De acordo com a Portaria nº 25, o Mapa de Riscos deve ser elaborado pela CIPAA, com participação dos trabalhadores envolvidos no processo produtivo e com orientação do Serviço Especializado em Engenharia de Segurança e Medicina do Trabalho (SESMT).
Mapa de Risco	Podemos utilizar outra ferramenta apropriada para substituir o Mapa de Risco?	"Segundo a NR-5:

5.3 Atribuições
5.3.1 A CIPAA tem por atribuição:
b) registrar a percepção dos riscos dos trabalhadores, em conformidade com o subitem 1.5.3.3 da
NR-1, por meio do mapa de risco ou outra técnica ou ferramenta apropriada à sua escolha, sem
ordem de preferência, com assessoria do Serviço Especializado em Segurança e em Medicina do
Trabalho - SESMT, onde houver."
Mapa de Risco	Quais as cores que classificam os riscos no Mapa de Riscos?	"Físico: Verde;
Químico: Vermelho;
Biológico: Marrom;
Ergonômico: Amarelo;
Acidente: Azul."
Mapa de Risco	Qual o órgão que fiscaliza o Mapa de Riscos?	Departamento Nacional de Segurança e Saúde do Trabalhador, do Ministério do Trabalho
Mapa de Risco	Quais informações são necessárias para a elaboração do Mapa de Risco?	É necessário verificar com o cliente se possui a planta baixa do local. Geralmente o Mapa de Risco é feito por pavimento, de forma que não fique poluído visualmente. Importante fazer uma visita de reconhecimento no local ou ter acesso ao PGR vigente para identificar tais informaçõess e transcrever para o respectivo mapa de risco.
eSocial	Para os clientes que não conseguiram a transmissão no primeiro ciclo, a cobrança do serviço da mensageria vai ser cobrada no faturamento?	A cobrança de qualquer serviço inicia sempre no mês subsequente ao mês de início da prestação do serviço, ou seja, se o serviço iniciar em março, a primeira cobrança será em abril conforme fluxo de faturamento do cliente.
Mobilização	Como devemos contextualizar sobre o valor de mobilização de Campanha aos clientes?	Importante que o time de sucesso verifique o contrato do cliente e identifique o formato de serviço/ e cobrança que consta. Em paralelo, atualmente temos dois formatos utilizados nesse caso: o fixo para clientes específicos e conforme determinados em contrato; e o variável, que precisamos verificar detalhadamente, uma vez que tem impacto direto no custo, como: local, grade de exames, horário, escalas, tipo de profissional, quantidade de vidas e exames. Importante reforçar que precisamos receber as informações completas para que a respectiva área consiga precificar o custo de forma efetiva. Para isso, é fundamental checar o contrato do cliente.
Mudança na Legislação	"Quando é exigido o exame toxicológico para motoristas? 
"	"A Lei 13.103/2015 (conhecida como Lei dos Caminhoneiros) valida que todas as empresas são obrigadas a realizar o exame toxicológico de larga janela de detecção na admissão ou desligamento de motoristas das categorias C, D e E e que estão em regime CLT. O exame toxicológico identifica o uso de substâncias psicoativas em um período de, pelo menos, 90 dias anteriores à coleta. Esse exame deve ser realizado em laboratório credenciado pelo Ministério do Trabalho e custeado pelo empregador. 
É importante saber que, em relação à antiga portaria (116/2015, artigo 1.3), o exame toxicológico não deve fazer parte do PCMSO, constar em Atestados de Saúde Ocupacional e estar vinculado à definição de aptidão do trabalhador. A legislação também autoriza o empregador a exigir que os motoristas se submetam a exames toxicológicos e a programas de controle de uso de droga e de bebida alcoólica pelo menos uma vez a cada dois anos e seis meses."
